B	一	1.0:1	yi1	nhất	số một	one
B	丨	2.0:1	ge3	cổn	sổ	bar
B	丶	3.0:1	zhu3	chủ	chấm	point
B	丿	4.0:1	pie3	phiệt	phẩy	comma
B	乙	5.0:1	yi3	ất	cong	2nd stema
B	亅	6.0:2	jue2	quyết	sổ móc	hook
B	二	7.0:2	er4	nhị	số hai	two; twice
B	亠	8.0:2	tou2	đầu	chấm đầu	lid
B	人	9.0:2	ren2	nhân	người	man; person, people; mankind; someone else
B	儿	10.0:2	er2	nhân	người	human
B	入	11.0:2	ru4	nhập	vào	enter, come in(to), join
B	八	12.0:2	ba1	bát	số tám	eight; all around, all sides
B	冂	13.0:2	jiong1	quynh	trống rỗng	limits
B	冖	14.0:2	mi4	mịch	che	cover
B	冫	15.0:2	bing1	băng	giá	ice
B	几	16.0:2	ji1	kỷ	ghế	seat
B	凵	17.0:2	qu1	khảm	há miệng	concave
B	刀	18.0:2	dao1	đao	dao	knife; old coin; measure
B	力	19.0:2	li4	lực	sức	power, capability, influence
B	勹	20.0:2	bao1	bao	túi	bag
B	匕	21.0:2	bi3	chủy	thìa	spoon
B	匚	22.0:2	fang1	phương	hộp	container
B	匸	23.0:2	xi3	hễ (hay hệ)	che cất	box
B	十	24.0:2	shi2	thập	số mười	ten, tenth; complete; perfect
B	卜	25.0:2	bu3	bốc	bói	to divine
B	卩	26.0:2	jie2	tiết	tin, mắt tre	internode
B	厂	27.0:2	han4	hán	sườn núi	flank
B	厶	28.0:2	si1	tư (hay khư)	gian, riêng	private
B	又	29.0:2	you4	hựu	lại	and, also, again, in addition
B	口	30.0:3	kou3	khẩu	miệng	mouth; open end; entrance, gate
B	囗	31.0:3	wei2	vi	vòng	perimeter
B	土	32.0:3	tu3	thổ	đất	soil, earth; items made of earth
B	士	33.0:3	shi4	sĩ	trò	scholar, gentleman; soldier
B	夂	34.0:3	chu3	truy	đến sau	to follow
B	夊	35.0:3	sui1	suy (hay tuy)	 đi chậm	short step
B	夕	36.0:3	xi1	tịch	tối	night
B	大	37.0:3	da4 dai4 tai4	đại	to (to cụ thể)	big, great, vast, large, high
B	女	38.0:3	nu:3	nữ	đàn bà, con gái	woman, girl; feminine; rad. 38
B	子	39.0:3	zi3 zi5	tử	con	offspring, child; fruit, seed of
B	宀	40.0:3	mian2	miên	mái nhà	roof
B	寸	41.0:3	cun4	thốn	tấc	inch
B	小	42.0:3	xiao3	tiểu	nhỏ	small, tiny, insignificant
B	尢	43.0:3	wang1	uông	khom lưng	thin
B	尸	44.0:3	shi1	thi	thây	corpse
B	屮	45.0:3	che4	triệt	cỏ mới mọc	sapling
B	山	46.0:3	shan1	sơn	núi	mountain, hill, peak
B	巛	47.0:3	chuan1	xuyên	sông	river
B	工	48.0:3	gong1	công	công, thợ	labor, work; worker, laborer
B	己	49.0:3	ji3	kỷ	mình	self, oneself; personal, private
B	巾	50.0:3	jin1	cân	khăn	cloth
B	干	51.0:3	gan1	can	phạm	to nudge
B	幺	52.0:3	yao1	yêu	ít	tiny
B	广	53.0:3	an1	nghiễm (hay yểm)	mái nhà	house top
B	廴	54.0:3	yin3	dẫn	bước dài	slow walk
B	廾	55.0:3	gong4	củng	chấp tay	twenty
B	弋	56.0:3	yi4	dặc (hay dực)	bắn	to take
B	弓	57.0:3	gong1	cung	cây cung	bow
B	彐	58.0:3	ji4	ký (hay kệ)	đầu con nhím	hedgehog top
B	彡	59.0:3	shan1	sam	lông dài	hair
B	彳	60.0:3	chi4	xích	bước	short steps
B	心	61.0:4	xin1	tâm	lòng, tim	heart; mind, intelligence; soul
B	戈	62.0:4	ge1	qua	cái mác	lance
B	戶	63.0:4	hu4	hộ	cửa ngõ	family
B	手	64.0:4	shou3	thủ	tay	hand
B	支	65.0:4	zhi1	chi	cành	disperse, pay; support; branch
B	攴	66.0:4	pu1	phốc (hay phộc)	đánh nhẹ	to tap
B	文	67.0:4	wen2	văn	văn hóa, văn học	literature, culture, writing
B	斗	68.0:4	dou3	đẩu	cái đấu	container
B	斤	69.0:4	jin1	cân	cân, cái rìu	ax
B	方	70.0:4	fang1 feng1 pang2 wang3	phương	vuông	square; rectangle; region, local
B	无	71.0:4	wu2	vô	không	without
B	日	72.0:4	ri4 mi4	nhật	mặt trời	sun; day; daytime
B	曰	73.0:4	yue1	viết	rằng	to say
B	月	74.0:4	yue4	nguyệt	mặt trăng	moon; month; radical no. 74
B	木	75.0:4	mu4	mộc	cây	tree; wood, lumber; wooden
B	欠	76.0:4	qian4	khiếm	thiếu	to owe
B	止	77.0:4	zhi3	chỉ	dừng	stop, halt, desist; detain
B	歹	78.0:4	dai1	đãi	xấu	vicious
B	殳	79.0:4	shu1	thù	cây gậy	dart
B	毋	80.0:4	wu2	vô	đừng	do not
B	比	81.0:4	bi3 bi4 pi2 pi3	tỷ	so sánh	compare, liken; comparison; than
B	毛	82.0:4	mao2 mao4	mao	lông	hair, fur, feathers; coarse
B	氏	83.0:4	shi4	thị	họ	clan
B	气	84.0:4	qi4	khí	hơi	air
B	水	85.0:4	shui3	thủy	nước	water, liquid, lotion, juice
B	火	86.0:4	huo3 huo1	hỏa	lửa	fire, flame; burn; anger, rage
B	爪	87.0:4	zhua3	trảo	móng	claw
B	父	88.0:4	fu4 fu3	phụ	cha	father; radical no. 88
B	爻	89.0:4	yao2	hào	giao nhau	stroke
B	爿	90.0:4	qiang2	tường	tấm ván	wall
B	片	91.0:4	pian4 pian1 pan4	phiến	thẻ	slice, splinter, strip; rad. 91
B	牙	92.0:4	ya2	nha	răng	tooth
B	牛	93.0:4	niu2	ngưu	trâu	cow, ox, bull; radical no. 93
B	犬	94.0:4	quan3	khuyển	chó	canine
B	玄	95.0:5	xuan2	huyền	đen	mystic
B	玉	96.0:5	yu4	ngọc	ngọc	precious stone
B	瓜	97.0:5	gua1	qua	dưa	melon
B	瓦	98.0:5	wa3	ngõa	ngói	pottery
B	甘	99.0:5	gan1	cam	ngọt	sweet
B	生	100.0:5	sheng1	sinh	sống, học sinh	life, living, lifetime; birth
B	用	101.0:5	yong4	dụng	dùng	use, employ, apply, operate; use
B	田	102.0:5	tian2	điền	ruộng	field, arable land, cultivated
B	疋	103.0:5	pi3	sơ	đủ, cái chơn	roll of cloth
B	疒	104.0:5	ne4	nạch (hay tật)	bịnh tật	sickness
B	癶	105.0:5	bo1	bát	rời ra	to deviate
B	白	106.0:5	bai2 bo2	bạch	trắng	white; pure, unblemished; bright
